breakdown step partitionid runtime
WorkStealingComputation 1 145 1191
InitialComputation 1 146 1101
WorkStealingComputation 1 146 1075
InitialComputation 1 147 1233
WorkStealingComputation 1 147 957
InitialComputation 1 148 1343
WorkStealingComputation 1 148 830
InitialComputation 1 149 1438
WorkStealingComputation 1 149 686
InitialComputation 1 150 1610
WorkStealingComputation 1 150 511
InitialComputation 1 151 1534
WorkStealingComputation 1 151 649
InitialComputation 1 152 1432
WorkStealingComputation 1 152 688
InitialComputation 1 153 1563
WorkStealingComputation 1 153 623
InitialComputation 1 154 1542
WorkStealingComputation 1 154 679
InitialComputation 1 155 1567
WorkStealingComputation 1 155 624
InitialComputation 1 156 1890
WorkStealingComputation 1 156 296
InitialComputation 1 157 1827
WorkStealingComputation 1 157 305
InitialComputation 1 158 1559
WorkStealingComputation 1 158 603
InitialComputation 1 159 1402
WorkStealingComputation 1 159 698
InitialComputation 1 160 1832
WorkStealingComputation 1 160 322
InitialComputation 1 161 1793
WorkStealingComputation 1 161 395
InitialComputation 1 162 1452
WorkStealingComputation 1 162 755
InitialComputation 1 163 1592
WorkStealingComputation 1 163 601
InitialComputation 1 164 1650
WorkStealingComputation 1 164 555
InitialComputation 1 165 1505
WorkStealingComputation 1 165 678
InitialComputation 1 166 1846
WorkStealingComputation 1 166 343
InitialComputation 1 167 1755
WorkStealingComputation 1 167 379
InitialComputation 1 168 1624
WorkStealingComputation 1 168 527
InitialComputation 1 169 1821
WorkStealingComputation 1 169 295
InitialComputation 1 170 1801
WorkStealingComputation 1 170 353
InitialComputation 1 171 1745
WorkStealingComputation 1 171 439
InitialComputation 1 172 1501
WorkStealingComputation 1 172 645
InitialComputation 1 173 1657
WorkStealingComputation 1 173 499
InitialComputation 1 174 1493
WorkStealingComputation 1 174 731
InitialComputation 1 175 1450
WorkStealingComputation 1 175 747
InitialComputation 1 176 2012
WorkStealingComputation 1 176 177
InitialComputation 1 177 1796
WorkStealingComputation 1 177 383
InitialComputation 1 178 1830
WorkStealingComputation 1 178 293
InitialComputation 1 179 1592
WorkStealingComputation 1 179 541
InitialComputation 1 180 1727
WorkStealingComputation 1 180 429
InitialComputation 1 181 1718
WorkStealingComputation 1 181 471
